nivel,aula_funcional,denominacion,cantidad,marca,modelo,tipo,color,serie,largo,ancho,alto,documento_alta,fecha_compra,numero_documento,estado,procedencia,observaciones,usuario_responsable,ubicacion,fecha_registro
"Primaria,""2A"",""Cometa 2"",""1"",""Santillana"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas llenas con làpiz"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""El zorro enamorado de la luna"",""1"",""MED"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""Piel de plata"",""1"",""MED"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""La pepela de Justina y el malvado brujo Yarqay"",""1"",""Centro Guamán Poma de Ayala"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Tapa dañada"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""BIG 2 Red bus"",""1"",""Heinemann"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""Por si no te lo he dicho"",""1"",""MED"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""Conoce a Babar y su familia"",""1"",""Editorial Debate"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Tapa forrada con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""Ricitos de oro y los tres osos"",""1"",""Bruño"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas dañadas"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""Los siete cabritos y el lobo"",""1"",""MED"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""El cuerpo humano y la conservación de la salud"",""1"",""Santillana"",""Cuadrado"",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""Los inventos y los experimentos"",""1"",""Santillana"",""Cuadrado"",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""El reino vegetal y el agua"",""1"",""Santillana"",""Cuadrasdo"",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""El medio ambiente y el reciclaje"",""1"",""Santillana"",""Cuadradoi"",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""El reino animal"",""1"",""Santillana"",""Cuadrado"",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""Recetas nutritivas"",""1"",""Santillana"",""Cuadrado"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""Historias de la biblia para los niños"",""1"",""Editorial PHER "",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""Magia potagia"",""1"",""San Marcos"",""Cuadrado"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""El traje nuevo del emperador"",""1"",""MED"",""Cuadrado"",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""El semáforo que quería ser árbol"",""2"",""Santillana"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Algunas tapas están dañadas"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
